date,AMZN,AAPL
2020-08-28 16:05:00-04:00,,
2020-08-31 16:05:00-04:00,,
2020-09-01 16:05:00-04:00,,
2020-09-02 16:05:00-04:00,,
2020-09-03 16:05:00-04:00,,
2020-09-04 16:05:00-04:00,,
2020-09-08 16:05:00-04:00,,
2020-09-09 16:05:00-04:00,,
2020-09-10 16:05:00-04:00,,
2020-09-11 16:05:00-04:00,,
2020-09-14 16:05:00-04:00,,
2020-09-15 16:05:00-04:00,,
2020-09-16 16:05:00-04:00,,
2020-09-17 16:05:00-04:00,,
2020-09-18 16:05:00-04:00,,
2020-09-21 16:05:00-04:00,,
2020-09-22 16:05:00-04:00,,
2020-09-23 16:05:00-04:00,,
2020-09-24 16:05:00-04:00,,
2020-09-25 16:05:00-04:00,-1.0,26.0
2020-09-28 16:05:00-04:00,,
2020-09-29 16:05:00-04:00,,
2020-09-30 16:05:00-04:00,,
2020-10-01 16:05:00-04:00,,
2020-10-02 16:05:00-04:00,,
2020-10-05 16:05:00-04:00,-1.0,25.0
2020-10-06 16:05:00-04:00,,
2020-10-07 16:05:00-04:00,,
2020-10-08 16:05:00-04:00,,
2020-10-09 16:05:00-04:00,,
2020-10-12 16:05:00-04:00,,
2020-10-13 16:05:00-04:00,,
2020-10-14 16:05:00-04:00,,
2020-10-15 16:05:00-04:00,,
2020-10-16 16:05:00-04:00,,
2020-10-19 16:05:00-04:00,,
2020-10-20 16:05:00-04:00,,
2020-10-21 16:05:00-04:00,,
2020-10-22 16:05:00-04:00,,
2020-10-23 16:05:00-04:00,,
2020-10-26 16:05:00-04:00,,
2020-10-27 16:05:00-04:00,,
2020-10-28 16:05:00-04:00,,
2020-10-29 16:05:00-04:00,,
2020-10-30 16:05:00-04:00,,
2020-11-02 16:05:00-05:00,,
2020-11-03 16:05:00-05:00,,
2020-11-04 16:05:00-05:00,,
2020-11-05 16:05:00-05:00,,
2020-11-06 16:05:00-05:00,-1.0,25.0
2020-11-09 16:05:00-05:00,,
2020-11-10 16:05:00-05:00,,
2020-11-11 16:05:00-05:00,,
2020-11-12 16:05:00-05:00,,
2020-11-13 16:05:00-05:00,,
2020-11-16 16:05:00-05:00,,
2020-11-17 16:05:00-05:00,,
2020-11-18 16:05:00-05:00,,
2020-11-19 16:05:00-05:00,,
2020-11-20 16:05:00-05:00,,
2020-11-23 16:05:00-05:00,,
2020-11-24 16:05:00-05:00,,
2020-11-25 16:05:00-05:00,,
2020-11-27 16:05:00-05:00,-1.0,25.0
2020-11-30 16:05:00-05:00,,
2020-12-01 16:05:00-05:00,,
2020-12-02 16:05:00-05:00,,
2020-12-03 16:05:00-05:00,,
2020-12-04 16:05:00-05:00,,
2020-12-07 16:05:00-05:00,,
2020-12-08 16:05:00-05:00,,
2020-12-09 16:05:00-05:00,,
2020-12-10 16:05:00-05:00,,
2020-12-11 16:05:00-05:00,-1.0,24.0
2020-12-14 16:05:00-05:00,,
2020-12-15 16:05:00-05:00,,
2020-12-16 16:05:00-05:00,,
2020-12-17 16:05:00-05:00,,
2020-12-18 16:05:00-05:00,,
2020-12-21 16:05:00-05:00,,
2020-12-22 16:05:00-05:00,,
2020-12-23 16:05:00-05:00,,
2020-12-24 16:05:00-05:00,,
2020-12-28 16:05:00-05:00,,
2020-12-29 16:05:00-05:00,,
2020-12-30 16:05:00-05:00,,
2020-12-31 16:05:00-05:00,,
2021-01-04 16:05:00-05:00,,
2021-01-05 16:05:00-05:00,,
2021-01-06 16:05:00-05:00,,
2021-01-07 16:05:00-05:00,,
2021-01-08 16:05:00-05:00,,
2021-01-11 16:05:00-05:00,,
2021-01-12 16:05:00-05:00,,
2021-01-13 16:05:00-05:00,,
2021-01-14 16:05:00-05:00,,
2021-01-15 16:05:00-05:00,,
2021-01-19 16:05:00-05:00,,
2021-01-20 16:05:00-05:00,,
2021-01-21 16:05:00-05:00,,
2021-01-22 16:05:00-05:00,,
2021-01-25 16:05:00-05:00,,
2021-01-26 16:05:00-05:00,,
2021-01-27 16:05:00-05:00,,
2021-01-28 16:05:00-05:00,,
2021-01-29 16:05:00-05:00,,
2021-02-01 16:05:00-05:00,,
2021-02-02 16:05:00-05:00,,
2021-02-03 16:05:00-05:00,,
2021-02-04 16:05:00-05:00,,
2021-02-05 16:05:00-05:00,,
2021-02-08 16:05:00-05:00,,
2021-02-09 16:05:00-05:00,,
2021-02-10 16:05:00-05:00,,
2021-02-11 16:05:00-05:00,,
2021-02-12 16:05:00-05:00,,
2021-02-16 16:05:00-05:00,,
2021-02-17 16:05:00-05:00,,
2021-02-18 16:05:00-05:00,,
2021-02-19 16:05:00-05:00,,
2021-02-22 16:05:00-05:00,,
2021-02-23 16:05:00-05:00,,
2021-02-24 16:05:00-05:00,,
2021-02-25 16:05:00-05:00,-1.0,24.0
2021-02-26 16:05:00-05:00,,
2021-03-01 16:05:00-05:00,,
2021-03-02 16:05:00-05:00,,
2021-03-03 16:05:00-05:00,1.0,-24.0
2021-03-04 16:05:00-05:00,,
2021-03-05 16:05:00-05:00,,
2021-03-08 16:05:00-05:00,,
2021-03-09 16:05:00-05:00,1.0,-24.0
2021-03-10 16:05:00-05:00,,
2021-03-11 16:05:00-05:00,,
2021-03-12 16:05:00-05:00,,
2021-03-15 16:05:00-04:00,,
2021-03-16 16:05:00-04:00,,
2021-03-17 16:05:00-04:00,,
2021-03-18 16:05:00-04:00,,
2021-03-19 16:05:00-04:00,,
2021-03-22 16:05:00-04:00,,
2021-03-23 16:05:00-04:00,,
2021-03-24 16:05:00-04:00,,
2021-03-25 16:05:00-04:00,,
2021-03-26 16:05:00-04:00,,
2021-03-29 16:05:00-04:00,,
2021-03-30 16:05:00-04:00,,
2021-03-31 16:05:00-04:00,,
2021-04-01 16:05:00-04:00,,
2021-04-05 16:05:00-04:00,,
2021-04-06 16:05:00-04:00,,
2021-04-07 16:05:00-04:00,,
2021-04-08 16:05:00-04:00,,
2021-04-09 16:05:00-04:00,,
2021-04-12 16:05:00-04:00,,
2021-04-13 16:05:00-04:00,,
2021-04-14 16:05:00-04:00,,
2021-04-15 16:05:00-04:00,,
2021-04-16 16:05:00-04:00,,
2021-04-19 16:05:00-04:00,,
2021-04-20 16:05:00-04:00,,
2021-04-21 16:05:00-04:00,,
2021-04-22 16:05:00-04:00,,
2021-04-23 16:05:00-04:00,,
2021-04-26 16:05:00-04:00,,
2021-04-27 16:05:00-04:00,,
2021-04-28 16:05:00-04:00,,
2021-04-29 16:05:00-04:00,,
2021-04-30 16:05:00-04:00,,
2021-05-03 16:05:00-04:00,,
2021-05-04 16:05:00-04:00,,
2021-05-05 16:05:00-04:00,,
2021-05-06 16:05:00-04:00,,
2021-05-07 16:05:00-04:00,,
2021-05-10 16:05:00-04:00,,
2021-05-11 16:05:00-04:00,,
2021-05-12 16:05:00-04:00,,
2021-05-13 16:05:00-04:00,,
2021-05-14 16:05:00-04:00,,
2021-05-17 16:05:00-04:00,,
2021-05-18 16:05:00-04:00,,
2021-05-19 16:05:00-04:00,,
