"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"24";"USDJPY_M1";"Sell";"2013.10.28 04:00:00";"97.616";"0.10000";"2013.10.29 11:00:00";"97.966";"-35.00";"10063.80";"IST";"SL";"-35.00";"13.60";"1d 7h 0m";""
"25";"USDJPY_M1";"Buy";"2013.10.29 14:00:00";"97.927";"0.10000";"2013.11.03 22:00:00";"98.822";"89.50";"10153.30";"IST";"End Of Friday";"-11.90";"92.30";"5d 8h 0m";""
"26";"USDJPY_M1";"Sell";"2013.11.03 23:00:00";"98.692";"0.10000";"2013.11.07 13:00:00";"99.042";"-35.00";"10118.30";"IST";"SL";"-35.00";"50.70";"3d 14h 0m";""
"27";"USDJPY_M1";"Buy";"2013.11.07 15:00:00";"99.254";"0.10000";"2013.11.07 16:00:00";"98.904";"-35.00";"10083.30";"IST";"SL";"-35.00";"0.60";"1h 0m";""
"28";"USDJPY_M1";"Sell";"2013.11.07 18:00:00";"98.502";"0.10000";"2013.11.08 13:00:00";"98.852";"-35.00";"10048.30";"IST";"SL";"-35.00";"87.40";"19h 0m";""
"29";"USDJPY_M1";"Buy";"2013.11.08 14:00:00";"98.588";"0.10000";"2013.11.08 21:00:00";"99.157";"56.90";"10105.20";"IST";"End Of Friday (Time)";"0.00";"63.30";"7h 0m";""
"30";"USDJPY_M1";"Sell";"2013.11.11 02:00:00";"99.050";"0.10000";"2013.11.12 01:00:00";"99.400";"-35.00";"10070.20";"IST";"SL";"-35.00";"10.70";"23h 0m";""
"31";"USDJPY_M1";"Sell";"2013.11.12 02:00:00";"99.483";"0.10000";"2013.11.14 08:00:00";"99.833";"-35.00";"10035.20";"IST";"SL";"-35.00";"36.30";"2d 6h 0m";""
"32";"USDJPY_M1";"Sell";"2013.11.14 15:00:00";"99.944";"0.10000";"2013.11.15 01:00:00";"100.294";"-35.00";"10000.20";"IST";"SL";"-35.00";"14.00";"10h 0m";""
"33";"USDJPY_M1";"Sell";"2013.11.15 06:00:00";"100.109";"0.10000";"2013.11.15 21:00:00";"100.237";"-12.80";"9987.40";"IST";"End Of Friday (Time)";"-34.10";"15.20";"15h 0m";""
"34";"USDJPY_M1";"Sell";"2013.11.18 03:00:00";"100.238";"0.10000";"2013.11.21 06:00:00";"100.588";"-35.00";"9952.40";"IST";"SL";"-35.00";"64.90";"3d 3h 0m";""
"35";"USDJPY_M1";"Sell";"2013.11.21 14:00:00";"100.925";"0.10000";"2013.11.21 23:00:00";"101.275";"-35.00";"9917.40";"IST";"SL";"-35.00";"3.30";"9h 0m";""
"36";"USDJPY_M1";"Sell";"2013.11.22 00:00:00";"101.291";"0.10000";"2013.11.22 21:00:00";"101.346";"-5.50";"9911.90";"IST";"End Of Friday (Time)";"-8.10";"31.70";"21h 0m";""
"37";"USDJPY_M1";"Buy";"2013.11.25 03:00:00";"101.656";"0.10000";"2013.11.26 17:00:00";"101.306";"-35.00";"9876.90";"IST";"SL";"-35.00";"26.10";"1d 14h 0m";""
"38";"USDJPY_M1";"Sell";"2013.11.26 18:00:00";"101.269";"0.10000";"2013.11.27 05:00:00";"101.619";"-35.00";"9841.90";"IST";"SL";"-35.00";"10.30";"11h 0m";""
"39";"USDJPY_M1";"Buy";"2013.11.27 06:00:00";"101.518";"0.10000";"2013.11.29 21:00:00";"102.410";"89.20";"9931.10";"IST";"End Of Friday (Time)";"0.00";"109.10";"2d 15h 0m";""
"40";"USDJPY_M1";"Sell";"2013.12.01 22:00:00";"102.496";"0.10000";"2013.12.02 11:00:00";"102.846";"-35.00";"9896.10";"IST";"SL";"-35.00";"25.20";"13h 0m";""
"41";"USDJPY_M1";"Sell";"2013.12.02 22:00:00";"102.937";"0.10000";"2013.12.03 04:00:00";"103.287";"-35.00";"9861.10";"IST";"SL";"-35.00";"8.70";"6h 0m";""
"42";"USDJPY_M1";"Sell";"2013.12.03 09:00:00";"103.106";"0.10000";"2013.12.06 21:00:00";"102.889";"21.70";"9882.80";"IST";"End Of Friday (Time)";"0.00";"146.60";"3d 12h 0m";""
