Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
KOZAL.IS,20.2,2023/12/22,17:09 TRT,-0.79999924,21.0,21.08,20.06,64943695,20231218,20.98,4096.0,,,,
ARCLK.IS,125.7,2023/12/22,17:09 TRT,-4.199997,129.9,130.0,124.9,2918568,20231218,128.8,240.0,,,,
TOASO.IS,212.5,2023/12/22,17:09 TRT,-5.800003,218.7,219.3,212.1,2162434,,231.3,245.0,,,,
ULKER.IS,76.1,2023/12/22,17:09 TRT,-2.7000046,78.9,79.9,76.1,3395775,20231203,80.56,1202.0,0.0,,,
SOKM.IS,53.15,2023/12/22,17:09 TRT,-0.54999924,53.85,55.15,53.15,5695099,20231203,58.45,366.0,0.0,,,
DOHOL.IS,11.02,2023/12/22,17:09 TRT,-0.42999935,11.45,11.5,11.01,25044036,20231203,13.87,100.0,0.0,,,
CONSE.IS,5.1,2023/12/22,17:05 TRT,-0.20000029,5.33,5.38,5.1,2422140,20231203,8.11,124.0,0.0,,,
