Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
KOZAL.IS,21.2,2024/02/01,17:09 TRT,0.44000053,20.78,21.42,20.78,107342912,20231218,20.98,4096.0,,,,
ARCLK.IS,146.0,2024/02/01,17:09 TRT,4.399994,142.0,147.0,141.9,6605917,20231218,128.8,240.0,,,,
TOASO.IS,251.75,2024/02/01,17:09 TRT,5.350006,247.0,254.25,246.6,4945412,20231218,231.3,245.0,,,,
ULKER.IS,94.05,2024/02/01,17:09 TRT,0.6000061,93.45,97.4,93.4,9049753,20231203,80.56,1202.0,0.0,,,
SOKM.IS,64.5,2024/02/01,17:09 TRT,0.70000076,64.0,65.2,63.9,6382345,20231203,58.45,366.0,0.0,,,
DOHOL.IS,13.47,2024/02/01,17:09 TRT,0.24000072,13.24,13.65,13.21,32828740,20231203,13.87,100.0,0.0,,,
CONSE.IS,6.34,2024/02/01,17:09 TRT,0.14000034,6.2,6.44,6.2,10700164,20231203,8.11,124.0,0.0,,,
