Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
BAGFS.IS,25.8,2024/01/22,17:09 TRT,-0.3600006,26.32,26.42,25.8,2990101,20231219,33.8,1532.0,0.0,,,
CIMSA.IS,30.86,2024/01/22,17:09 TRT,0.040000916,30.82,31.74,30.74,12633268,20231219,29.8,2895.0,0.0,,,
TUKAS.IS,7.38,2024/01/22,17:09 TRT,0.0,7.38,7.51,7.32,10403833,20231219,6.92,16907.0,0.0,,,
AHGAZ.IS,12.18,2024/01/22,17:09 TRT,0.07999992,12.23,12.96,12.13,36515079,20231219,11.4,65350.0,0.0,,,
