Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
"$$CASH",,,,,,,,,,,,,,,
TURSG.IS,44.68,2024/01/12,17:09 TRT,-0.3199997,44.9,45.4,43.78,3892174,20231127,41.48,1119.0,0.0,,,
THYAO.IS,251.0,2024/01/12,17:09 TRT,4.300003,246.0,254.75,241.9,46279706,20231126,260.5,308.0,0.0,,,
SKBNK.IS,4.66,2024/01/12,17:09 TRT,0.059999943,4.52,4.76,4.48,117640678,20231127,7.41,4255.0,0.0,,,
PENTA.IS,18.2,2024/01/12,17:09 TRT,-0.0099983215,18.24,18.48,17.96,2815258,20231127,22.74,1791.0,0.0,,,
ENKAI.IS,34.98,2024/01/12,17:09 TRT,-0.27999878,34.9,35.4,34.3,23906364,20231127,34.66,4626.0,0.0,,,
ECZYT.IS,254.0,2024/01/12,17:09 TRT,0.0,255.0,258.0,248.0,594707,20231127,323.75,256.0,0.0,,,
AKFGY.IS,1.89,2024/01/12,17:09 TRT,-0.01999998,1.89,1.92,1.86,86424381,20231225,2.0,45345.0,0.0,,,
