Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
EKGYO.IS,10.58,2024/02/16,17:09 TRT,0.14999962,10.47,10.79,10.46,275367362,20240216,10.57,6868.0,0.0,,,
BIMAS.IS,390.25,2024/02/16,17:09 TRT,-9.0,399.25,400.0,390.0,2960433,20240216,390.25,2.0,0.0,,,
ASELS.IS,58.3,2024/02/16,17:09 TRT,2.4500008,55.9,59.95,55.7,86096310,20240216,58.32,103.0,0.0,,,
GUBRF.IS,207.3,2024/02/16,17:09 TRT,-4.0,212.7,218.9,206.5,21573800,20240216,207.63,98.0,0.0,,,
FROTO.IS,964.5,2024/02/16,17:09 TRT,5.0,962.0,973.5,956.0,1114732,20240216,963.51,27.0,0.0,,,
TCELL.IS,68.15,2024/02/16,17:10 TRT,-0.6500015,69.2,69.65,68.05,23407878,20240216,68.44,26.0,0.0,,,
TAVHL.IS,166.5,2024/02/16,17:09 TRT,5.100006,162.5,168.0,160.7,6486507,20240216,167.25,1326.0,0.0,,,
