Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
"$$CASH",,,,,,,,,20231128,,5018.58,,,,
TUPRS.IS,143.0,2023/12/29,17:09 TRT,-1.6000061,145.0,146.0,142.8,17245152,20231128,157.2,242.0,0.0,,,
ULKER.IS,81.85,2023/12/29,17:09 TRT,1.7999954,80.0,82.4,79.45,3755715,20231127,86.7,756.0,0.0,,,
OTKAR.IS,425.5,2023/12/29,17:09 TRT,9.75,416.0,430.0,415.0,263692,20231128,436.5,150.0,0.0,,,
BRSAN.IS,591.0,2023/12/29,17:09 TRT,10.5,590.0,624.5,570.0,1918891,20231127,710.0,77.0,0.0,,,
CCOLA.IS,525.5,2023/12/29,17:09 TRT,28.0,500.0,531.0,500.0,833898,20231128,419.0,38.0,0.0,,,
ENKAI.IS,34.0,2023/12/29,17:09 TRT,-0.20000076,34.26,34.6,33.96,15936124,20231127,34.36,2227.0,0.0,,,
ECZYT.IS,249.5,2023/12/29,17:09 TRT,6.600006,245.9,252.0,242.7,614669,20231126,339.0,324.0,0.0,,,
AKFGY.IS,1.97,2023/12/29,17:09 TRT,0.110000014,1.87,1.99,1.86,82159763,20231125,1.67,8144.0,0.0,,,
AKFGY.IS,1.97,2023/12/29,17:09 TRT,0.110000014,1.87,1.99,1.86,82159763,20231226,1.59,8144.0,0.0,,,
SKBNK.IS,4.3,2023/12/29,17:09 TRT,0.16000032,3.73,4.52,3.73,729736070,20231128,7.2,13688.0,0.0,,,
TURSG.IS,40.56,2023/12/29,17:09 TRT,1.2600021,39.6,40.56,38.9,3034214,20231128,38.94,2459.0,0.0,,,
EKGYO.IS,6.88,2023/12/29,17:09 TRT,-0.059999943,6.95,7.01,6.85,146116252,20231126,7.5,3283.0,0.0,,,
PENTA.IS,17.99,2023/12/29,17:09 TRT,0.6800003,17.45,18.16,17.27,3155184,20231127,22.76,894.0,0.0,,,
THYAO.IS,228.6,2023/12/29,17:09 TRT,-0.3999939,229.0,231.0,227.9,17712965,20231126,257.0,65.5,0.0,,,
AKBNK.IS,36.52,2023/12/29,17:09 TRT,0.47999954,36.08,36.86,36.06,86945109,20231127,33.48,299.0,0.0,,,
