Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
"$$CASH",,,,,,,,,,,,,,,
TUPRS.IS,155.3,2024/02/02,17:09 TRT,0.6000061,155.3,157.7,153.7,22338762,20231128,157.2,242.0,0.0,,,
ULKER.IS,97.0,2024/02/02,17:09 TRT,2.949997,94.45,98.0,94.4,7727749,20231127,86.7,756.0,0.0,,,
OTKAR.IS,490.5,2024/02/02,17:08 TRT,4.5,490.0,494.75,482.0,252975,20231128,436.5,150.0,0.0,,,
BRSAN.IS,633.5,2024/02/02,17:09 TRT,6.0,632.5,662.5,617.5,3117557,20231127,710.0,77.0,0.0,,,
CCOLA.IS,551.0,2024/02/02,17:08 TRT,-4.0,557.0,563.5,547.0,350578,20231128,419.0,38.0,0.0,,,
ENKAI.IS,39.08,2024/02/02,17:10 TRT,0.42000198,38.72,39.68,38.28,28782960,20231126,34.36,1727.0,0.0,,,
ECZYT.IS,280.75,2024/02/02,17:09 TRT,-3.25,284.75,287.0,278.75,709589,20231126,339.0,324.0,0.0,,,
AKFGY.IS,2.16,2024/02/02,17:09 TRT,0.07000017,2.1,2.2,2.09,205153896,20231224,1.59,24432.0,0.0,,,
SKBNK.IS,4.79,2024/02/02,17:09 TRT,-0.07000017,4.87,4.9,4.75,58527945,20231128,7.2,13688.0,0.0,,,
TURSG.IS,47.88,2024/02/02,17:08 TRT,-0.5999985,48.98,48.98,47.34,4117173,20231128,38.94,2459.0,0.0,,,
EKGYO.IS,9.93,2024/02/02,17:09 TRT,-0.30999947,10.26,10.34,9.87,229801582,20231126,7.5,3283.0,0.0,,,
PENTA.IS,20.14,2024/02/02,17:08 TRT,-1.3199997,22.2,22.42,20.14,18255666,20231127,22.76,894.0,0.0,,,
THYAO.IS,281.5,2024/02/02,17:09 TRT,7.0,277.0,285.75,276.25,59160108,20231126,257.0,65.5,0.0,,,
AKBNK.IS,39.26,2024/02/02,17:09 TRT,-0.8200035,40.02,40.48,39.04,115940161,20231127,33.48,299.0,0.0,,,
