Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
"$$CASH",,,,,,,,,20231128,,5018.58,,,,
TUPRS.IS,151.2,2023/12/15,17:09 TRT,-0.5,151.6,152.8,149.6,17694777,20231128,157.2,242.0,0.0,,,
ULKER.IS,81.6,2023/12/15,17:09 TRT,2.5499954,79.0,81.65,78.8,6184416,20231127,86.7,756.0,0.0,,,
OTKAR.IS,439.0,2023/12/15,17:09 TRT,16.5,440.75,443.75,432.25,676298,20231128,436.5,150.0,0.0,,,
BRSAN.IS,629.0,2023/12/15,17:09 TRT,11.5,617.5,636.5,615.5,1257834,20231127,710.0,77.0,0.0,,,
CCOLA.IS,466.5,2023/12/15,17:09 TRT,20.75,448.25,487.5,448.25,827108,20231128,419.0,38.0,0.0,,,
ENKAI.IS,35.8,2023/12/15,17:09 TRT,1.3999977,34.54,36.16,34.52,42983436,20231127,34.36,2227.0,0.0,,,
ECZYT.IS,290.75,2023/12/15,17:09 TRT,8.0,282.75,291.5,282.0,732881,20231126,339.0,324.0,0.0,,,
AKFGY.IS,2.02,2023/12/15,17:09 TRT,0.029999971,2.0,2.05,1.99,96741006,20231126,4.68,8144.0,0.0,,,
SKBNK.IS,6.92,2023/12/15,17:09 TRT,0.13999987,6.78,6.92,6.75,51333557,20231128,7.2,13688.0,0.0,,,
TURSG.IS,37.12,2023/12/15,17:09 TRT,0.6800003,36.42,37.22,35.9,3213071,20231128,38.94,2459.0,0.0,,,
EKGYO.IS,7.41,2023/12/15,17:09 TRT,0.14999962,7.26,7.45,7.21,170148002,20231126,7.5,3283.0,0.0,,,
PENTA.IS,19.3,2023/12/15,17:08 TRT,0.25,19.06,19.72,18.99,2574478,20231127,22.76,894.0,0.0,,,
THYAO.IS,253.25,2023/12/15,17:09 TRT,1.0,252.75,256.75,251.5,34025732,20231126,257.0,65.5,0.0,,,
AKBNK.IS,39.1,2023/12/15,17:09 TRT,0.7599983,38.38,39.94,38.26,111997233,20231127,33.48,299.0,0.0,,,
