Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
"$$CASH",,,,,,,,,,,,,,,
TUPRS.IS,139.7,2024/01/12,17:09 TRT,0.099990845,139.4,142.2,138.9,20433395,20231128,157.2,242.0,0.0,,,
ULKER.IS,79.9,2024/01/12,17:09 TRT,0.5,79.15,80.75,77.35,4361587,20231127,86.7,756.0,0.0,,,
OTKAR.IS,427.75,2024/01/12,17:09 TRT,-4.25,432.0,433.5,420.75,259384,20231128,436.5,150.0,0.0,,,
BRSAN.IS,585.0,2024/01/12,17:09 TRT,0.5,580.5,595.0,573.0,951391,20231127,710.0,77.0,0.0,,,
CCOLA.IS,500.0,2024/01/12,17:09 TRT,23.75,476.25,505.0,472.5,1072254,20231128,419.0,38.0,0.0,,,
ENKAI.IS,34.98,2024/01/12,17:09 TRT,-0.27999878,34.9,35.4,34.3,23906364,20231127,34.36,2227.0,0.0,,,
ECZYT.IS,254.0,2024/01/12,17:09 TRT,0.0,255.0,258.0,248.0,594707,20231126,339.0,324.0,0.0,,,
AKFGY.IS,1.89,2024/01/12,17:09 TRT,-0.01999998,1.89,1.92,1.86,86424381,20231224,1.59,24432.0,0.0,,,
SKBNK.IS,4.66,2024/01/12,17:09 TRT,0.059999943,4.52,4.76,4.48,117640678,20231128,7.2,13688.0,0.0,,,
TURSG.IS,44.68,2024/01/12,17:09 TRT,-0.3199997,44.9,45.4,43.78,3892174,20231128,38.94,2459.0,0.0,,,
EKGYO.IS,8.19,2024/01/12,17:09 TRT,0.019999504,8.11,8.33,7.99,190460527,20231126,7.5,3283.0,0.0,,,
PENTA.IS,18.2,2024/01/12,17:09 TRT,-0.0099983215,18.24,18.48,17.96,2815258,20231127,22.76,894.0,0.0,,,
THYAO.IS,251.0,2024/01/12,17:09 TRT,4.300003,246.0,254.75,241.9,46279706,20231126,257.0,65.5,0.0,,,
AKBNK.IS,43.26,2024/01/12,17:09 TRT,2.1399994,40.74,44.26,40.16,224445913,20231127,33.48,299.0,0.0,,,
