Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
"$$CASH",,,,,,,,,20231127,,1865.22,,,,
TURSG.IS,37.12,2023/12/15,17:09 TRT,0.6800003,36.42,37.22,35.9,3213071,20231128,40.72,305.0,0.0,,,
PENTA.IS,19.3,2023/12/15,17:08 TRT,0.25,19.06,19.72,18.99,2574478,20231128,22.22,872.0,0.0,,,
ENKAI.IS,35.8,2023/12/15,17:09 TRT,1.3999977,34.54,36.16,34.52,42983436,20231128,34.6,1915.0,0.0,,,
SKBNK.IS,6.92,2023/12/15,17:09 TRT,0.13999987,6.78,6.92,6.75,51333557,20231128,7.34,2414.0,0.0,,,
THYAO.IS,253.25,2023/12/15,17:09 TRT,1.0,252.75,256.75,251.5,34025732,20231128,261.25,152.0,0.0,,,
ECZYT.IS,290.75,2023/12/15,17:09 TRT,8.0,282.75,291.5,282.0,732881,20231128,327.0,138.0,0.0,,,
BAGFS.IS,37.18,2023/12/15,17:09 TRT,0.47999954,36.68,37.5,35.5,2152186,20231128,38.92,118.0,0.0,,,
AKFGY.IS,2.02,2023/12/15,17:09 TRT,0.029999971,2.0,2.05,1.99,96741006,20231128,4.78,9410.0,0.0,,,
