Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-08 00:00:00+01:00,26.8581,26.8899,26.7684,26.8581,0,0.0,0.0
2023-09-11 00:00:00+01:00,26.6651,26.8839,26.6379,26.6651,0,0.0,0.0
2023-09-12 00:00:00+01:00,26.8669,26.9028,26.8554,26.8669,0,0.0,0.0
2023-09-13 00:00:00+01:00,26.9192,26.95,26.9049,26.9192,0,0.0,0.0
2023-09-14 00:00:00+01:00,26.8855,26.9751,26.8835,26.8855,0,0.0,0.0
2023-09-15 00:00:00+01:00,26.9444,27.063,26.8705,26.9444,0,0.0,0.0
2023-09-18 00:00:00+01:00,26.786,27.0236,26.7839,26.786,0,0.0,0.0
2023-09-19 00:00:00+01:00,26.9875,27.0344,26.931,26.9875,0,0.0,0.0
2023-09-20 00:00:00+01:00,27.0183,27.0401,27.0036,27.0183,0,0.0,0.0
2023-09-21 00:00:00+01:00,27.0228,27.1198,26.9407,27.0228,0,0.0,0.0
2023-09-22 00:00:00+01:00,27.1048,27.1686,27.0854,27.1048,0,0.0,0.0
2023-09-25 00:00:00+01:00,27.1781,27.2507,27.1742,27.1781,0,0.0,0.0
2023-09-26 00:00:00+01:00,27.2074,27.2673,27.2025,27.2074,0,0.0,0.0
2023-09-27 00:00:00+01:00,27.3428,27.3879,27.2418,27.3428,0,0.0,0.0
2023-09-28 00:00:00+01:00,27.3328,27.4275,27.3151,27.3328,0,0.0,0.0
2023-09-29 00:00:00+01:00,27.4589,27.4689,27.3509,27.4589,0,0.0,0.0
2023-10-02 00:00:00+01:00,27.4811,27.5146,27.3848,27.4811,0,0.0,0.0
2023-10-03 00:00:00+01:00,27.462,27.6555,27.2802,27.462,0,0.0,0.0
2023-10-04 00:00:00+01:00,27.5276,27.5712,27.3964,27.5276,0,0.0,0.0
2023-10-05 00:00:00+01:00,27.5546,27.5725,27.5342,27.5546,0,0.0,0.0
2023-10-06 00:00:00+01:00,27.5826,27.7726,27.5252,27.5826,0,0.0,0.0
2023-10-09 00:00:00+01:00,27.7127,27.8152,27.5185,27.7127,0,0.0,0.0
2023-10-10 00:00:00+01:00,27.7197,27.7692,27.6494,27.7197,0,0.0,0.0
2023-10-11 00:00:00+01:00,27.7275,27.8389,27.6924,27.7275,0,0.0,0.0
2023-10-12 00:00:00+01:00,27.7188,27.7546,27.6917,27.7188,0,0.0,0.0
2023-10-13 00:00:00+01:00,27.8423,27.8849,27.7395,27.8423,0,0.0,0.0
2023-10-16 00:00:00+01:00,27.7063,27.8848,27.5061,27.7063,0,0.0,0.0
2023-10-17 00:00:00+01:00,27.8702,27.921,27.8494,27.8702,0,0.0,0.0
2023-10-18 00:00:00+01:00,27.9614,28.0231,27.9573,27.9614,0,0.0,0.0
2023-10-19 00:00:00+01:00,28.0196,28.0497,27.9564,28.0196,0,0.0,0.0
2023-10-20 00:00:00+01:00,28.0243,28.0851,27.9365,28.0243,0,0.0,0.0
2023-10-23 00:00:00+01:00,28.0499,28.0656,27.98,28.0499,0,0.0,0.0
2023-10-24 00:00:00+01:00,28.0817,28.112,28.0707,28.0817,0,0.0,0.0
2023-10-25 00:00:00+01:00,28.1225,28.1322,28.1054,28.1225,0,0.0,0.0
2023-10-26 00:00:00+01:00,28.1482,28.1688,28.1187,28.1482,0,0.0,0.0
2023-10-27 00:00:00+01:00,28.1667,28.2723,28.1477,28.1667,0,0.0,0.0
2023-10-30 00:00:00+00:00,28.2028,28.3193,28.1034,28.2028,0,0.0,0.0
2023-10-31 00:00:00+00:00,28.2574,28.5355,28.1709,28.2574,0,0.0,0.0
2023-11-01 00:00:00+00:00,28.3024,28.3315,28.2897,28.3024,0,0.0,0.0
2023-11-02 00:00:00+00:00,28.3231,28.3528,28.1575,28.3231,0,0.0,0.0
2023-11-03 00:00:00+00:00,28.3589,28.492,28.3158,28.3589,0,0.0,0.0
2023-11-06 00:00:00+00:00,28.3832,28.4424,28.334,28.3832,0,0.0,0.0
2023-11-07 00:00:00+00:00,28.4476,28.5071,28.443,28.4476,0,0.0,0.0
2023-11-08 00:00:00+00:00,28.4952,28.544,28.4783,28.4952,0,0.0,0.0
2023-11-09 00:00:00+00:00,28.5173,28.5289,28.4561,28.5173,0,0.0,0.0
2023-11-10 00:00:00+00:00,28.5258,28.729,28.3703,28.5258,0,0.0,0.0
2023-11-13 00:00:00+00:00,28.5137,28.5947,28.4784,28.5137,0,0.0,0.0
2023-11-14 00:00:00+00:00,28.6061,28.7002,28.5796,28.6061,0,0.0,0.0
2023-11-15 00:00:00+00:00,28.6412,28.7717,28.5062,28.6412,0,0.0,0.0
2023-11-16 00:00:00+00:00,28.6797,28.6896,28.649,28.6797,0,0.0,0.0
2023-11-17 00:00:00+00:00,28.7019,28.9412,28.5706,28.7019,0,0.0,0.0
2023-11-20 00:00:00+00:00,28.6478,28.7697,28.6278,28.6478,0,0.0,0.0
2023-11-21 00:00:00+00:00,28.7778,28.8028,28.716,28.7778,0,0.0,0.0
2023-11-22 00:00:00+00:00,28.794,28.8376,28.785,28.794,0,0.0,0.0
2023-11-23 00:00:00+00:00,28.8318,28.865,28.7222,28.8318,0,0.0,0.0
2023-11-24 00:00:00+00:00,28.8407,28.9108,28.7745,28.8407,0,0.0,0.0
2023-11-27 00:00:00+00:00,28.8426,28.9132,28.8426,28.8426,0,0.0,0.0
2023-11-28 00:00:00+00:00,28.9094,28.9347,28.862,28.9094,0,0.0,0.0
2023-11-29 00:00:00+00:00,28.9186,28.9539,28.8833,28.9186,0,0.0,0.0
2023-11-30 00:00:00+00:00,28.9409,28.9465,28.8016,28.9409,0,0.0,0.0
2023-12-01 00:00:00+00:00,28.8864,28.9603,28.6177,28.8864,0,0.0,0.0
2023-12-04 00:00:00+00:00,28.8962,28.9406,28.8538,28.8962,0,0.0,0.0
2023-12-05 00:00:00+00:00,28.9178,28.9461,28.8833,28.9178,0,0.0,0.0
2023-12-06 00:00:00+00:00,28.9147,28.9461,28.8636,28.9147,0,0.0,0.0
2023-12-07 00:00:00+00:00,28.9149,28.9417,28.8868,28.9149,0,0.0,0.0
2023-12-08 00:00:00+00:00,28.9107,28.9875,28.9061,28.9107,0,0.0,0.0
2023-12-11 00:00:00+00:00,28.8761,29.0002,28.8684,28.8761,0,0.0,0.0
2023-12-12 00:00:00+00:00,28.9611,29.0498,28.9208,28.9611,0,0.0,0.0
2023-12-13 00:00:00+00:00,29.0271,29.0628,28.9814,29.0271,0,0.0,0.0
2023-12-14 00:00:00+00:00,28.9918,29.049,28.9428,28.9918,0,0.0,0.0
2023-12-15 00:00:00+00:00,28.9766,29.0587,28.9015,28.9766,0,0.0,0.0
2023-12-18 00:00:00+00:00,28.8404,29.065,28.7694,28.8404,0,0.0,0.0
2023-12-19 00:00:00+00:00,29.0387,29.0944,29.0376,29.0387,0,0.0,0.0
2023-12-20 00:00:00+00:00,29.0887,29.1348,29.0809,29.0887,0,0.0,0.0
2023-12-21 00:00:00+00:00,29.1255,29.16,29.1171,29.1255,0,0.0,0.0
2023-12-22 00:00:00+00:00,29.1035,29.3145,28.9566,29.1035,0,0.0,0.0
2023-12-25 00:00:00+00:00,28.8333,29.3001,29.0067,28.8333,0,0.0,0.0
2023-12-26 00:00:00+00:00,29.3114,29.3868,28.8654,29.3114,0,0.0,0.0
2023-12-27 00:00:00+00:00,29.3059,29.406,29.149,29.3059,0,0.0,0.0
2023-12-28 00:00:00+00:00,29.3879,29.4719,29.3373,29.3879,0,0.0,0.0
2023-12-29 00:00:00+00:00,29.5198,29.8589,29.3312,29.5198,0,0.0,0.0
2024-01-01 00:00:00+00:00,29.0181,29.4675,29.4675,29.0181,0,0.0,0.0
