,open_dt,close_dt,symbol,amount,buy,sell,long,pnl,rt_returns,duration,returns
0,2020-01-10 15:56:00-05:00,2020-01-13 15:56:00-05:00,AMZN,5.0,1886.23,1890.1,True,19.349999999999454,0.002051711615232443,3 days 00:00:00,0.0019413209409837886
1,2020-01-10 15:56:00-05:00,2020-01-13 15:56:00-05:00,AAPL,31.0,316.99,309.89,False,-220.1000000000007,-0.02239818290797824,3 days 00:00:00,-0.022081898662043683
2,2020-03-04 15:56:00-05:00,2020-03-05 15:56:00-05:00,AMZN,4.0,1974.93,1923.45,True,-205.92000000000007,-0.02606674666950222,1 days 00:00:00,-0.021042025805911028
3,2020-03-04 15:56:00-05:00,2020-03-05 15:56:00-05:00,AAPL,31.0,291.86,302.3,False,323.63999999999993,0.03577057493318714,1 days 00:00:00,0.03307129580334616
4,2020-04-20 15:56:00-04:00,2020-04-21 15:56:00-04:00,AMZN,4.0,2330.4,2395.68,False,261.119999999999,0.028012358393408748,1 days 00:00:00,0.02634930181211985
5,2020-04-20 15:56:00-04:00,2020-04-21 15:56:00-04:00,AAPL,35.0,277.67,268.74,True,-312.55000000000024,-0.03216047826556706,1 days 00:00:00,-0.03153904059964038
6,2020-06-10 15:56:00-04:00,2020-06-11 15:56:00-04:00,AMZN,3.0,2651.7,2559.44,True,-276.7799999999993,-0.034792774446581354,1 days 00:00:00,-0.028037837607859193
7,2020-06-10 15:56:00-04:00,2020-06-11 15:56:00-04:00,AAPL,27.0,336.31,353.44,False,462.5099999999999,0.050935149118372915,1 days 00:00:00,0.04685230244963865
8,2020-07-10 15:56:00-04:00,2020-07-13 15:56:00-04:00,AMZN,3.0,3106.7,3200.51,False,281.4300000000012,0.030196027939614515,3 days 00:00:00,0.02799986469169617
9,2020-07-10 15:56:00-04:00,2020-07-13 15:56:00-04:00,AAPL,25.0,383.5,382.52,True,-24.500000000000455,-0.0025554106910039586,3 days 00:00:00,-0.0024375392991030304
10,2020-07-24 15:56:00-04:00,2020-07-27 15:56:00-04:00,AMZN,3.0,3058.07,3002.87,False,-165.60000000000082,-0.01805060054217211,3 days 00:00:00,-0.016123174824480432
11,2020-07-24 15:56:00-04:00,2020-07-27 15:56:00-04:00,AAPL,27.0,370.59,379.0,True,227.07000000000068,0.02269354272916168,3 days 00:00:00,0.02210802721856742
