,Ticker,Open-Close,Close,Eff,PWin_OC,PWin
0,PGSUS.IS,1.3979867939325525,0.9634377251592722,1.4510401216658215,0.5,0.596
1,TAVHL.IS,1.057558805082118,1.1515191977653465,0.9184031035995152,0.368,0.568
2,TURSG.IS,0.8830637001381444,3.3556173190698866,0.2631598350383151,0.358,0.553
3,ECZYT.IS,2.342280549836215,1.40633440675441,1.6655217554136472,0.636,0.548
4,TCELL.IS,1.2991712292950828,1.2020677732911607,1.0807803504606575,0.514,0.546
5,TSKB.IS,1.2188946863985881,1.2847554839983486,0.9487367063849442,0.528,0.545
6,BIMAS.IS,0.9974279541069746,1.8697069137054412,0.5334675433863814,0.4,0.542
7,OTKAR.IS,1.073360732859365,1.6091001163162129,0.667056525554581,0.42,0.541
8,YKBNK.IS,0.9164205595674384,1.7402384547743865,0.5266063148146257,0.549,0.539
9,KONYA.IS,2.136948895769219,1.9469331639596401,1.0975974601116394,0.5,0.538
10,SOKM.IS,1.3794091145201122,1.7180743177250712,0.8028809349450081,0.573,0.535
11,GARAN.IS,1.1342825209850358,1.9373475494044257,0.5854822080497296,0.49,0.532
12,SNGYO.IS,0.9777101385016705,0.7057632932858724,1.3853230223261908,0.563,0.531
13,TUKAS.IS,0.717516645357787,0.8556177281571389,0.8385948791678276,0.468,0.528
14,TTRAK.IS,1.2443585482385096,2.0299204629371363,0.6130085246975736,0.356,0.526
15,BAGFS.IS,0.8013617503540887,0.6220647058772686,1.2882289298570089,0.56,0.524
16,CIMSA.IS,2.641654977826668,2.057295811089185,1.284042364538772,0.583,0.523
17,BUCIM.IS,1.1391801713062955,0.9167190362526637,1.2426710106981105,0.533,0.523
18,CCOLA.IS,0.6849660057021444,2.0143133101135176,0.3400493866882818,0.395,0.522
19,ISCTR.IS,1.514292365155154,1.6867977619753247,0.8977320217581044,0.571,0.522
20,ULKER.IS,1.4709109216182057,1.968491915369434,0.7472273114935067,0.514,0.522
21,ISMEN.IS,1.6649304125774078,2.2915074381688885,0.7265655720095896,0.505,0.519
22,EGEEN.IS,1.456441607343747,1.6345426932937093,0.8910391960511738,0.591,0.518
23,ISGYO.IS,0.8951962538635985,1.0365886472504713,0.863598358170415,0.537,0.514
24,AKFGY.IS,0.5147168794848151,0.35439481534893424,1.4523826455475346,0.577,0.514
25,BRSAN.IS,3.47854614237199,6.138966372111448,0.5666338486841347,0.655,0.514
26,TTKOM.IS,1.5085160571435323,0.9852157929377778,1.5311529392412044,0.517,0.514
27,ENKAI.IS,1.3195914156233668,0.8745446664733626,1.508889672776433,0.592,0.509
28,TOASO.IS,1.1192189402709218,1.0448222276216679,1.071205139671084,0.462,0.509
29,DOHOL.IS,0.9940395780324403,1.0321876568183799,0.9630415278327127,0.49,0.509
30,DOAS.IS,1.5137718470179173,1.23860795895572,1.2221557564462853,0.486,0.509
31,KOZAA.IS,1.5107010997754826,0.6434291769559585,2.3478902634203784,0.555,0.509
32,AKBNK.IS,1.18838627611464,1.7093699404242861,0.6952188920671368,0.491,0.509
33,SKBNK.IS,0.906855692775661,1.201803874859714,0.7545787725817724,0.583,0.505
34,MAVI.IS,0.9162292868018759,1.7038216316886907,0.537749533026989,0.388,0.505
35,AKCNS.IS,0.9953109068256897,1.9668330173355517,0.5060474875360934,0.433,0.505
36,TKFEN.IS,0.9951972688472864,0.8505776147735739,1.1700252293992133,0.515,0.504
37,VESBE.IS,1.1647705051831672,0.8909615111053668,1.3073185436911867,0.419,0.5
38,PETKM.IS,1.1068601651650576,0.8907437778661346,1.2426246387223174,0.49,0.5
39,ENJSA.IS,1.2898102384572188,1.1997533632429425,1.0750628237214122,0.559,0.5
40,TUPRS.IS,1.0041154768813478,1.3217607738492227,0.7596801908087872,0.464,0.5
41,IPEKE.IS,1.537201240790861,0.7418876227522359,2.072013595655082,0.555,0.496
42,ECILC.IS,1.6147788707248973,1.2422436930072085,1.2998889668868918,0.541,0.495
43,HALKB.IS,1.4744056907852834,0.851025390561113,1.7325049371478238,0.534,0.495
44,ALARK.IS,1.3820288914774475,1.064667755341946,1.298084669647549,0.558,0.49
45,AGHOL.IS,1.3088295550508922,1.7688362752110833,0.7399382144029716,0.484,0.482
46,SAHOL.IS,1.043908997233221,1.2507350938735953,0.8346363689213976,0.485,0.482
47,THYAO.IS,1.0616129374187944,1.2914755793665127,0.8220154948183618,0.469,0.481
48,ODAS.IS,1.7475950072933957,0.8741305659681,1.9992379574988701,0.561,0.48
49,IZMDC.IS,1.1708339984510856,0.8205569902719377,1.4268771241142726,0.518,0.48
50,ASUZU.IS,2.2127753655219613,0.8416342822255736,2.6291411985626514,0.573,0.476
51,GLYHO.IS,1.1727926059101856,0.830157919263781,1.4127343469183158,0.551,0.472
52,SELEC.IS,0.9999566971975571,0.8993073261723337,1.1119187713655254,0.429,0.472
53,ALBRK.IS,0.9868310141575282,0.8271761775893691,1.1930118889949652,0.514,0.472
54,VAKBN.IS,1.509934600017616,1.0015551029028595,1.5075901422111408,0.571,0.471
55,AKSEN.IS,1.272126841071646,0.7053527014969285,1.8035329536158096,0.519,0.471
56,BERA.IS,1.5169902026342503,0.8045573259939759,1.8854967242515779,0.585,0.468
57,BRYAT.IS,3.4795772583383506,2.062134624635194,1.6873666814812889,0.538,0.467
58,CEMTS.IS,0.9711751900387591,0.7958297872464545,1.2203302836891718,0.386,0.467
59,TKNSA.IS,1.6194002614951228,1.2260243023051125,1.320854944270194,0.505,0.467
60,ARCLK.IS,1.0574004863035877,0.879332302354024,1.2025038582943726,0.484,0.455
