,Entry Date,Entry Type,EWA Entry,EWA Qty,EWC Entry,EWC Qty,Exit Date,EWA Exit,EWC Exit,EWA_profit
0,2004-06-30,short-spread,-1.9428254134464862,0.0,-1.973042303454678,0.0,2004-07-07,-1.8963749512340107,-1.9740990181476366,0.0
1,2004-07-08,long-spread,-1.9042629462260097,-1286.785720784407,-1.9772681321467391,-1302.2087599813167,2004-07-14,-1.9130271248019135,-1.9719860302244794,11.27761984587778
2,2004-07-21,short-spread,-1.9393200679621219,-1312.8439037028265,-1.9751552913778352,-1299.4256720169099,2004-08-11,-1.9410730462786765,-2.0237531306849306,-2.3013868962120796
3,2004-08-24,short-spread,-1.9419493317207055,-1312.8439037028265,-1.9793811200698963,-1299.4256720169099,2004-12-06,-1.655357137440115,-1.693078982080398,376.2508151100892
4,2004-12-14,long-spread,-1.6904143610343514,-1293.173605935798,-1.7501277430003486,-1298.0385360458872,2005-04-07,-1.5738325431847948,-1.5991105433953643,-150.7605297750615
5,2005-05-04,short-spread,-1.6055881375429593,-1485.598843533988,-1.656834595183716,-1468.071677423769,2006-04-27,-1.0685861992734569,-0.8328024148594121,797.7694584686826
6,2006-06-01,short-spread,-1.1728919741427997,-1485.598843533988,-0.8758535688968113,-1468.071677423769,2006-07-07,-1.1287266989455422,-0.9361247136555597,65.61188175740608
7,2006-07-10,long-spread,-1.1306057776197898,-2012.5613799991977,-0.9554972767942042,-2933.496034740826,2006-08-02,-1.161615464934832,-0.8909212815093718,62.40889909610496
8,2006-08-03,short-spread,-1.1653744371483201,-2087.833917707638,-0.8919975677180194,-2688.979899547927,2006-09-19,-1.1522192566986014,-0.9619555826631032,27.46583193648712
9,2006-10-03,long-spread,-1.1324852637265337,-2079.096564959704,-0.9888621492622811,-2880.4035620247505,2007-05-15,-0.3564416611296945,-0.32716627370691803,-1613.469588418042
10,2007-05-16,short-spread,-0.38203840401136413,-2139.4768362760756,-0.32063645087091436,-2598.2519133624196,2007-06-25,-0.2589738258505283,-0.2727459820594399,263.2938143411949
