,Ticker,Open-Close,Close,Eff,PWin_OC,PWin
0,CAT,0.7508826611320312,1.2787243210011554,0.5872123090175844,0.534,0.607
1,IBM,0.8878137881915396,1.4320553282607371,0.6199577423239708,0.404,0.606
2,MCD,0.8497433723533695,1.1338275763860617,0.7494467325109729,0.433,0.605
3,CRM,0.8203466222301828,1.6897959095253565,0.48547082970546923,0.433,0.597
4,TRV,0.904247723029974,1.1814934183207444,0.7653430048854445,0.42,0.593
5,JNJ,0.7306654876660705,0.9877714169345997,0.7397111063747737,0.351,0.593
6,GS,0.7254408893327066,1.0791605718651083,0.6722270144459878,0.447,0.575
7,WMT,0.7894078664866504,1.2237448976400636,0.6450755120687225,0.394,0.571
8,V,0.6976417306980657,1.2176651820732836,0.5729339566975309,0.415,0.57
9,BA,0.6595374445515385,1.0124269008005313,0.6514420389561347,0.485,0.569
10,AXP,0.6984800471962549,1.186613923537082,0.5886329439942959,0.505,0.564
11,CSCO,0.6336149325368187,1.0869762025798442,0.5829151834538681,0.375,0.562
12,MSFT,1.024730653498493,1.6157116949810906,0.6342286539619841,0.475,0.561
13,PG,0.7828144990516065,1.146462985504039,0.682808349636726,0.37,0.558
14,JPM,0.7776361678384051,1.2663503787183426,0.6140766259535856,0.424,0.554
15,AAPL,0.6310598393107237,1.231719782891325,0.5123404268374914,0.461,0.544
16,VZ,0.8644351574694479,1.0967842365991818,0.7881542500554323,0.417,0.542
17,MRK,0.84125911487229,1.2491304275385684,0.6734758007056194,0.386,0.538
18,HON,0.8445191856927897,0.9823577475640293,0.8596859828173185,0.439,0.536
19,NKE,0.5993935117250286,0.811355818836679,0.7387554237109415,0.36,0.533
20,CVX,0.8058415266925164,0.9326907553483741,0.8639964769367983,0.575,0.523
21,HD,0.7167397283818897,1.1151048687247616,0.6427554470294405,0.38,0.513
22,KO,0.85485140308527,1.0378926137890847,0.8236414747807316,0.353,0.509
23,AMGN,0.9710574261038781,1.3713007940378148,0.7081286836016376,0.485,0.509
24,DIS,0.7198847755746666,0.8869258957371065,0.8116628221531232,0.388,0.509
25,UNH,0.7102065187165527,1.0897897109256078,0.6516913415463815,0.505,0.505
26,MMM,0.9054445196750625,0.863565388328687,1.0484956112326673,0.422,0.475
27,WBA,0.7604077183990693,0.6689255954484197,1.1367597884923566,0.5,0.448
