,Ticker,Open-Close,Close,Eff,PWin_OC,PWin
0,MCD,0.8200032455728274,1.0915357237084653,0.7512381205324979,0.433,0.605
1,MMC,0.8061055908729701,1.1323265385214103,0.7119020560319828,0.46,0.603
2,NVDA,1.5286944986894275,3.2890495287032557,0.4647830582509143,0.559,0.602
3,CRM,0.821056533444159,1.7042885545725324,0.48175910777626235,0.44,0.6
4,MCK,0.821432251522592,1.426500852428848,0.5758371963984256,0.375,0.598
5,EFX,0.6762705408962522,1.1100821909316845,0.6092076302284094,0.414,0.594
6,WDC,0.9997361172992139,1.3839053543361686,0.722402087806624,0.448,0.59
7,ACN,0.6053708378550854,1.3219188535157431,0.4579485618538959,0.4,0.577
8,BLK,0.734974986744541,1.0853611054978929,0.6771709277414933,0.355,0.576
9,ADBE,0.7978540195000338,1.6803026984506655,0.4748275535328846,0.452,0.569
10,AMP,0.6832884895844539,1.1294410201770126,0.6049793458691317,0.4,0.568
11,ORCL,0.6426863833172245,1.334834286588273,0.4814727863785086,0.464,0.563
12,FICO,0.7533681908658117,1.865216396338344,0.40390390752771044,0.475,0.56
13,ODFL,0.8087485370355177,1.1263050330778814,0.7180546239995312,0.481,0.559
14,APH,0.8013087806601309,1.2716720232729526,0.6301222060368764,0.43,0.557
15,PNC,0.7093147761909772,0.9384856890264878,0.7558077704165795,0.47,0.554
16,FTNT,0.6003627326488127,1.2712058896752019,0.47227812388613755,0.486,0.552
17,MKC,0.7853385847971895,0.8930925385600615,0.8793473810266018,0.429,0.551
18,CBOE,0.6946217041613466,1.4396039603960396,0.4825088866595324,0.437,0.548
19,EG,0.9742926517007895,1.1244370467501723,0.8664714974632618,0.469,0.546
20,PKG,0.8292394628749336,1.1808109137571985,0.7022627020243175,0.469,0.544
21,PODD,1.0530596023596006,0.6624225087835826,1.5897098730738353,0.329,0.542
22,WYNN,0.8128443608641527,0.9544910617086529,0.8515997618763074,0.44,0.542
23,HON,0.8342470629247476,0.966829067251055,0.8628692404715631,0.439,0.536
24,GWW,0.8132759380692918,1.41709486591698,0.5739036656117116,0.529,0.533
25,DLR,0.8945436592731972,1.3152075011308508,0.6801540125828393,0.4,0.533
26,PXD,1.0155957216966611,1.1045993254781714,0.9194245354595147,0.527,0.531
27,XRAY,0.802913035141895,0.8885342224987418,0.9036377157020894,0.36,0.531
28,NTAP,0.7513966306284938,1.355712668307909,0.5542447512615829,0.394,0.53
29,LYB,0.754840265597943,0.993854950423481,0.7595074766959766,0.43,0.53
30,TJX,0.8601174119479583,1.2246708338759136,0.7023253825893818,0.414,0.529
31,SWKS,0.6193604902359977,0.9461155023539112,0.6546351779407954,0.41,0.528
32,CVX,0.801592583632266,0.9332420261555708,0.8589332254296069,0.57,0.527
33,NDSN,0.8795905756420094,1.0471954161926655,0.8399488405325298,0.505,0.522
34,MET,0.7453984845278069,0.9717880212003585,0.7670381485121479,0.485,0.521
35,LNT,0.7579437610655644,0.9149564700779987,0.8283932469497164,0.418,0.519
36,GE,0.8531261633265772,1.677298677567697,0.5086310355670953,0.381,0.517
37,CTVA,0.8488366342557341,0.8635062014915782,0.983011624918843,0.54,0.514
38,T,0.6894897783568784,0.9681282804918782,0.7121884488350743,0.353,0.509
39,EA,0.7812507157450513,1.210231855680233,0.6455380529592283,0.455,0.504
40,WM,0.7949202868307642,1.2616916598512735,0.6300432285685936,0.302,0.496
41,NDAQ,0.7197028793871911,0.9596536415719573,0.7499610778408389,0.419,0.496
42,TSN,0.6709095096480137,0.9763947212053927,0.6871293904782206,0.442,0.495
43,PAYX,0.8200862528838886,1.0589926166735406,0.7744022384782117,0.48,0.492
44,SWK,0.8145314184056853,0.9942966271139447,0.8192036422470348,0.452,0.49
45,TYL,0.7839008708065646,1.3050076783158397,0.6006867881560799,0.411,0.487
46,MTD,0.6268382692625754,0.7628439861710443,0.8217122775115201,0.417,0.482
47,NCLH,0.6261742367238897,1.0331524552140978,0.6060811582682917,0.475,0.482
48,CMA,0.7054495035833442,0.7122084096618341,0.9905099322237727,0.537,0.481
49,NTRS,0.7368232818974874,0.8386026486579249,0.878632190199587,0.429,0.477
50,BIIB,0.8080220457555857,0.8389066094142728,0.9631847415289161,0.363,0.476
51,MSI,0.9118907089079952,1.2757453890139403,0.7147905191433389,0.418,0.475
52,BX,0.6225808312495654,1.3097768526432636,0.4753335119590285,0.439,0.475
53,ENPH,0.5532625868747248,0.43858469277788303,1.2614726322765655,0.459,0.472
54,LKQ,0.7159206574985384,0.8396152509250531,0.8526770526259103,0.414,0.461
55,PARA,0.764335598387154,0.5956919836287825,1.2831053957299268,0.53,0.455
56,GIS,0.7659082342583543,0.8504572673770182,0.9005840312477661,0.404,0.453
57,BBY,0.7950730731143004,0.8860955953724103,0.8972768595922714,0.426,0.44
58,WBD,0.5657565475014055,0.6538961002769991,0.8652086275812678,0.485,0.436
59,LMT,0.9229465534727804,0.9233293876428725,0.9995853763833192,0.463,0.413
